sku,parent_sku,stock,regular_price,meta:attribute_pa_service,meta:attribute_default_pa_service
2454018ZBRRE040P,2454018ZBRRE040P,1,193.17,Micheldever - Halifax,Micheldever - Halifax
2657017XBFATKO,2657017XBFATKO,50,119.95,Micheldever - Halifax,Micheldever - Halifax
2554019ZPIPZEROR,2554019ZPIPZEROR,0,153.54,Micheldever - Halifax,Micheldever - Halifax
2553519ZPIPZEROA,2553519ZPIPZEROA,0,151.4,Micheldever - Halifax,Micheldever - Halifax
2254018ZPIPZERN4,2254018ZPIPZERN4,11,89,Micheldever - Halifax,Micheldever - Halifax
2454519ZPIPZEROR,2454519ZPIPZEROR,4,139.37,Micheldever - Halifax,Micheldever - Halifax
2554017ZPIPZERN3,2554017ZPIPZERN3,3,113.34,Micheldever - Halifax,Micheldever - Halifax
2653518ZPIPZERN4,2653518ZPIPZERN4,6,120.32,Micheldever - Halifax,Micheldever - Halifax
2754019ZPIPZEROR,2754019ZPIPZEROR,1,154.52,Micheldever - Halifax,Micheldever - Halifax
2853018ZPIPZERN4,2853018ZPIPZERN4,4,147.82,Micheldever - Halifax,Micheldever - Halifax
2358516XBUGTAT,2358516XBUGTAT,7,68.5,Micheldever - Halifax,Micheldever - Halifax
2757016XBUGTAT,2757016XBUGTAT,11,71.35,Micheldever - Halifax,Micheldever - Halifax
2254518ZCOSPORTM,2254518ZCOSPORTM,12,102.55,Micheldever - Halifax,Micheldever - Halifax
1657014R6BUGTMAX,1657014R6BUGTMAX,50,29.95,Micheldever - Halifax,Micheldever - Halifax
2257015R8BUGTMAX,2257015R8BUGTMAX,43,44.6,Micheldever - Halifax,Micheldever - Halifax
1957516R8BUGTMAX,1957516R8BUGTMAX,50,43.65,Micheldever - Halifax,Micheldever - Halifax
1857014HBRB391,1857014HBRB391,0,42.85,Micheldever - Halifax,Micheldever - Halifax
2156516XDUST20,2156516XDUST20,50,56.91,Micheldever - Halifax,Micheldever - Halifax
20516XDUTG308PR,20516XDUTG308PR,4,54.99,Micheldever - Halifax,Micheldever - Halifax
2157016XBFATKO,2157016XBFATKO,37,89.95,Micheldever - Halifax,Micheldever - Halifax
2857516XBFATKO,2857516XBFATKO,4,126.95,Micheldever - Halifax,Micheldever - Halifax
31105015XBFATKO,31105015XBFATKO,50,89.95,Micheldever - Halifax,Micheldever - Halifax
32115015XBFGATKO,32115015XBFGATKO,0,114.3,Micheldever - Halifax,Micheldever - Halifax
2755517XDUSP5000,2755517XDUSP5000,7,100.26,Micheldever - Halifax,Micheldever - Halifax
2054517VPIEUFOR,2054517VPIEUFOR,0,91.8,Micheldever - Halifax,Micheldever - Halifax
2855018ZDUSP9000,2855018ZDUSP9000,2,125.68,Micheldever - Halifax,Micheldever - Halifax
1207012LPIEVO21,1207012LPIEVO21,6,22.89,Micheldever - Halifax,Micheldever - Halifax
1307012LPIEVO22,1307012LPIEVO22,0,24.92,Micheldever - Halifax,Micheldever - Halifax
1406013LPIEVO22,1406013LPIEVO22,10,26.95,Micheldever - Halifax,Micheldever - Halifax
2155017VDUSP3000,2155017VDUSP3000,0,93.75,Micheldever - Halifax,Micheldever - Halifax
2055017ZPIROSSN3,2055017ZPIROSSN3,2,105.98,Micheldever - Halifax,Micheldever - Halifax
2454017ZBRE050,2454017ZBRE050,0,86.53,Micheldever - Halifax,Micheldever - Halifax
2054517ZBRE040,2054517ZBRE040,0,93.98,Micheldever - Halifax,Micheldever - Halifax
