product_cat,name,pa_brand,,sku,short,description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating,,,,,,,,,,,,,
tyres,Micheldever,-0,Halifax,GOODYEAR,553880,2157516R8GOG26,215/75R16,GDYR,G26,113/111R,215,75,16,R,113/111,G26,9,75.74,G26,LIGHT,TRUCK,TYRES,,16,INCH,RIM,N,N,C2,E,0,C,75,3,,,
tyres,Micheldever,-0,Halifax,CONTINENTAL,3519490000,1259016MCOCST17,125/90R16,CONTI,CST17,98M,125,90,16,M,98,COCST17,19,35.18,CST17,CAR,TYRES,,16,Inch,Rim,N,N,NA,,0,,0,0,,,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76056,909018HBRBT45,90/90-18,BST,BT45,51H,(F),90,90,18,H,51,BT45,2,51.95,BT45,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,,,0,,0,0,,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,72823,809021HBRL307,80/90-21,BST,L307,48H,(F),TT,80,90,21,H,48,L307,0,0,L307,MOTORCYCLE,TYRES,,21,INCH,RIM,&,ABOVE,N,N,,,0,,0,0
tyres,Micheldever,-0,Halifax,DUNLOP,652997,40018SDUK70,4.00-18,DLOP,K70,64S,TT,(U),400,80,18,S,64,K70,0,54.5,K70,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,74718,30021PBRTW301,3.00-21,BST,TW301,51P,F,TT,300,80,21,P,51,TW301,0,38.8,TW301,MOTORCYCLE,TYRES,,21,INCH,RIM,&,ABOVE,N,N,,,0,,0,0
tyres,Micheldever,-0,Halifax,BRIDGESTONE,74715,46018PBRTW302,4.60-18,BST,TW302,63P,(R),TT,460,80,18,P,63,TW302,0,48.8,TW302,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,49767,46017PBRTW302,4.60-17,BST,TW302,62P,(R),TT,460,80,17,P,62,TW302,0,46.95,TW302,MOTORCYCLE,TYRES,,17,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,AVON,4149616,2354017ZAVZZ3,235/40R17,AVON,ZZ3,90Y,235,40,17,Y,90,ZZ3,0,86.75,ZZ3,CAR,TYRES,,17,INCH,RIM,N,N,C1,F,0,B,71,2,,,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,72917,35016PBRS701,3.50-16,BST,S701,58P,(R),TT,350,80,16,P,58,S701,5,36.5,S701,MOTORCYCLE,TYRES,,16,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,74714,41018PBRTW302,4.10-18,BST,TW302,59P,(R),TT,410,80,18,P,59,TW302,1,41.95,TW302,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,FIRESTONE,3919,1657014R6FIF580,165/70R14,FSTONE,F580,89R,6PR,165,70,14,R,89,F580,0,45.95,F580,LIGHT,TRUCK,TYRES,,14,INCH,RIM,N,N,C2,G,0,B,73,3,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76007,1307012LBRB02,130/70-12,BST,BO2,HOOP,62L,(R),130,70,12,L,62,B02,0,31.45,B02,MOTORCYCLE,TYRES,,12,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,73323,30019SBRL303,3.00-19,BST,L303,49S,(F),TT,300,80,19,S,49,L303,2,41.95,L303,MOTORCYCLE,TYRES,,19,INCH,RIM,N,N,,,0,,0,0,,
